title,user,img,url,user_url,user_img
java-modifiers,김구현,https://velog.velcdn.com/images/kgh852/post/e50b9aa2-4651-4537-9d24-5abefb658b89/image.webp,https://velog.io/@kgh852/java-modifiers,https://velog.io//@kgh852/posts,https://velog.velcdn.com/images/kgh852/profile/4b6873f6-ccc9-4460-884a-61ff8c5f4799/social_profile.png
모든 감정은 나를 위한 것이었다. (스포 조심),Kevin,https://velog.velcdn.com/images/yardyard/post/930356f1-e727-4327-8cff-ad55cd43cd0e/image.png,https://velog.io/@yardyard/모든-감정은-나를-위한-것이었다.-스포-조심,https://velog.io//@yardyard/posts,https://velog.velcdn.com/images/yardyard/profile/eee57bf9-1ece-465a-a31d-3b6f7059cd45/image.jpg
IT 지식 공유 챌린지 13주차,성장하는 어린이,https://velog.velcdn.com/images/newkid0714/post/15ddff50-ad89-40ee-858b-4368ccdc264a/image.png,https://velog.io/@newkid0714/IT-지식-공유-챌린지-13주차,https://velog.io//@newkid0714/posts,https://velog.velcdn.com/images/newkid0714/profile/f3268703-47fa-4231-bb67-7e0668b66a88/image.jpg
QueryDSL의 작은 팁,Basquiat Yoon,,https://velog.io/@basquiat78/QueryDSL의-작은-팁,https://velog.io//@basquiat78/posts,https://velog.velcdn.com/images/basquiat78/profile/4e5bd42c-e36c-4d1a-b7b9-748d9b6d2dfc/social_profile.gif
우물 안 올챙이,허준기,https://velog.velcdn.com/images/dradnats1012/post/6e6e9542-8b4a-4767-84d5-6eca75dde726/image.webp,https://velog.io/@dradnats1012/우물-안-올챙이,https://velog.io//@dradnats1012/posts,https://velog.velcdn.com/images/dradnats1012/profile/b73de2cd-ce4c-4b8c-9f10-ac4007485743/image.jpeg
Bits: Figma AI (and Slides),Jaeho Lee,https://velog.velcdn.com/images/jaeholee/post/e76b9f72-c38a-4a83-8c8d-a99eee0d2976/image.png,https://velog.io/@jaeholee/Bits-Figma-AI-and-Slides,https://velog.io//@jaeholee/posts,https://images.velog.io/profiles/jaeholee/thumbnails/1574752979.621.jpeg
2. 항해 플러스 프론트엔드 코스 2주차 후기,유시온,https://velog.velcdn.com/images/yoosion030/post/d4790e6f-3fb1-4d43-af62-c62d1aad4988/image.png,https://velog.io/@yoosion030/2.-항해-플러스-프론트엔드-코스-2주차-후기,https://velog.io//@yoosion030/posts,https://velog.velcdn.com/images/yoosion030/profile/38e897ae-e4cb-4477-9319-a2e8ddff595c/image.jpg
올해 첫 2차 면접 회고!!!,재혁,https://velog.velcdn.com/images/wogur981208/post/04e99b1b-e1b9-40b8-b9fd-4a69f8051595/image.png,https://velog.io/@wogur981208/올해-첫-2차-면접-회고,https://velog.io//@wogur981208/posts,https://velog.velcdn.com/images/wogur981208/profile/fcac9a54-e839-4616-83af-c763ab1a4649/image.avif
의존성 역전을 활용하여 테스트코드를 경량화하는 방법,양말,https://velog.velcdn.com/images/ywonchae1/post/12bbb45f-c3a2-4507-8fa3-de9e852b177d/image.jpeg,https://velog.io/@ywonchae1/의존성-역전을-활용하여-테스트코드를-경량화하는-방법,https://velog.io//@ywonchae1/posts,https://velog.velcdn.com/images/ywonchae1/profile/dc823134-c675-4807-a5f2-e8debba56413/image.jpg
알아야 할 것 (타입),jhj,,https://velog.io/@jhj99/알아야-할-것-타입,https://velog.io//@jhj99/posts,/images/user-thumbnail.png
